,location,Hospitals
0,1st Block Jayanagar,
1,1st Phase JP Nagar,
2,2nd Phase Judicial Layout,
3,2nd Stage Nagarbhavi,
4,5th Block Hbr Layout,
5,5th Phase JP Nagar,
6,6th Phase JP Nagar,
7,7th Phase JP Nagar,
8,8th Phase JP Nagar,
9,9th Phase JP Nagar,
10,AECS Layout,
11,Abbigere,
12,Akshaya Nagar,
13,Ambalipura,
14,Ambedkar Nagar,
15,Amruthahalli,
16,Anandapura,
17,Ananth Nagar,
18,Anekal,"Vijayashree Hospitals,Athreya Hospital,Narayana Hrudayalaya,Ganga Speciality Hospital Anekal Pvt. Ltd.,"
19,Anjanapura,
20,Ardendale,
21,Arekere,"Srinivasam Cancer Care Hospitals Pvt Ltd,Vasan Eye Care Hospital,Nano Hospitals,"
22,Attibele,
23,BEML Layout,
24,BTM 2nd Stage,
25,BTM Layout,
26,Babusapalaya,
27,Badavala Nagar,
28,Balagere,
29,Banashankari,"Vinayaka Hospital,Devagiri Hospital,Udhbhava Hospital,Maharaja Agrasen Hospital,Excel Care Hospital,Bangalore Nethralaya,Dr. Natesh Ent & Surgical Care Centre,Sridevi Nursing Home,Vittal International Institute Of Ophthamology,"
30,Banashankari Stage II,
31,Banashankari Stage III,
32,Banashankari Stage V,
33,Banashankari Stage VI,
34,Banaswadi,"Vasan Eye Care Hospital,Divine Medical Centre,Nmpc Health Care Pvt Ltd,Zamindars Microsurgical Eye Centre,Kamath Nursing Home,"
35,Banjara Layout,
36,Bannerghatta,"Fortis Hospital Ltd.-Wockhardt,Dr Agarwal'S Eye Hospital Ltd.,Srinivasam Cancer Care Hospitals Pvt Ltd,Apollo Hospitals-Imperial Hospital And Research Centre Ltd.,Vijayashree Hospitals,Vasan Eye Care Hospital,Parimala Health Care Service,"
37,Bannerghatta Road,"Fortis Hospital Ltd.-Wockhardt,Dr Agarwal'S Eye Hospital Ltd.,Apollo Hospitals-Imperial Hospital And Research Centre Ltd.,Vasan Eye Care Hospital,Parimala Health Care Service,"
38,Basavangudi,"Shekhar Hospital,"
39,Basaveshwara Nagar,
40,Battarahalli,"Sathya Sai Orthopaedic And Multispeciality Hospital,"
41,Begur,"Jayashree Multispeciality Hospital,Kavya Hospital,Vasan Eye Care Hospital,"
42,Begur Road,
43,Bellandur,"Eye Foundation Limited,Nelivigi Eye Hospital And Surgical Centre,"
44,Benson Town,"Divine Speciality Hospital,"
45,Bharathi Nagar,"Mirlay Eye Care,"
46,Bhoganhalli,
47,Billekahalli,
48,Binny Pete,
49,Bisuvanahalli,
50,Bommanahalli,"Blossom Multispeciality Hospitals & Day Care Centre Pvt Ltd,Vasan Eye Care Hospital,Prashanth Hospital,"
51,Bommasandra,"Narayana Hrudayalaya,Narayana Nethralaya,Sparsh Hospital,"
52,Bommasandra Industrial Area,"Narayana Hrudayalaya,Sparsh Hospital,"
53,Bommenahalli,
54,Brookefield,
55,Budigere,
56,CV Raman Nagar,
57,Chamrajpet,
58,Chandapura,"Athreya Hospital,"
59,Channasandra,
60,Chikka Tirupathi,
61,Chikkabanavar,"Nrr Hospital,"
62,Chikkalasandra,
63,Choodasandra,
64,Cooke Town,
65,Cox Town,
66,Cunningham Road,"Fortis Hospital Ltd.-Wockhardt,"
67,Dasanapura,
68,Dasarahalli,"Vijaya Hospital,Sri Venkateshwara Eye Hospital,Madhu Hospital,Premier Sanjeevini Hospital,Sarojini Hospital,"
69,Devanahalli,"Manasa Hospital,"
70,Devarachikkanahalli,
71,Dodda Nekkundi,
72,Doddaballapur,"Manasa Hospital,L.V. Hospital,Abhishek Nethradhama,"
73,Doddakallasandra,
74,Doddathoguru,
75,Domlur,
76,Dommasandra,
77,EPIP Zone,
78,Electronic City,"Sri Laxmi Hospital,"
79,Electronic City Phase II,
80,Electronics City Phase 1,
81,Frazer Town,"Dr Agarwal'S Eye Hospital Ltd.,Vasan Eye Care Hospital,"
82,GM Palaya,
83,Garudachar Palya,
84,Giri Nagar,
85,Gollarapalya Hosahalli,
86,Gottigere,"Vijayashree Hospitals,"
87,Green Glen Layout,
88,Gubbalala,
89,Gunjur,
90,HAL 2nd Stage,
91,HBR Layout,
92,HRBR Layout,
93,HSR Layout,
94,Haralur Road,
95,Harlur,
96,Hebbal,"Columbia Asia Hospital,Bangalore Baptist Hospital,"
97,Hebbal Kempapura,
98,Hegde Nagar,"Regal Hospital,"
99,Hennur,"Vasan Eye Care Hospital,Shree Vijayalakshmi Hospital & Trauma Centre,Sundar Hospital,K.C. Raju Multispeciality Hospital,"
100,Hennur Road,"Sundar Hospital,"
101,Hoodi,
102,Horamavu Agara,
103,Horamavu Banaswadi,
104,Hormavu,"Dr. Sailaja'S Super Speciality Eye Hospital,"
105,Hosa Road,"Blossom Multispeciality Hospitals & Day Care Centre Pvt Ltd,"
106,Hosakerehalli,
107,Hoskote,
