,location,Super Market,Supermarket
0,1st Block Jayanagar,,
1,1st Phase JP Nagar,,
2,2nd Phase Judicial Layout,,
3,2nd Stage Nagarbhavi,,
4,5th Block Hbr Layout,,
5,5th Phase JP Nagar,,
6,6th Phase JP Nagar,,
7,7th Phase JP Nagar,,
8,8th Phase JP Nagar,,
9,9th Phase JP Nagar,,
10,AECS Layout,,
11,Abbigere,,
12,Akshaya Nagar,,
13,Ambalipura,,"BB-Bengaluru- Ambalipura Village-  Coronet Green Apartment,BB-Bengaluru- Ambalipura Village-  Coronet Green Apartment,"
14,Ambedkar Nagar,,"Channasandra, Bengaluru (Star Market),Channasandra, Bengaluru (Star Market),"
15,Amruthahalli,,
16,Anandapura,,
17,Ananth Nagar,,"Anantha Nagar, Bengaluru (Star Market),Anantha Nagar, Bengaluru (Star Market),"
18,Anekal,,
19,Anjanapura,,"Easyday Club Bengaluru Anjanapura,Reliance Fresh KonenkunteCross,Easyday Club Bengaluru Anjanapura,"
20,Ardendale,,
21,Arekere,,"SarlaGrand,SarlaGrand,"
22,Attibele,,
23,BEML Layout,,
24,BTM 2nd Stage,,"Namdhari's Fresh,Namdhari's Fresh,"
25,BTM Layout,,
26,Babusapalaya,,
27,Badavala Nagar,,
28,Balagere,,
29,Banashankari,,"Reliance Fresh Venugopal Katriguppre,Namdhari's Fresh,Reliance Fresh Srinivasa Nagar,Reliance Fresh Venugopal Katriguppre,"
30,Banashankari Stage II,,
31,Banashankari Stage III,,
32,Banashankari Stage V,,
33,Banashankari Stage VI,,
34,Banaswadi,,"Easyday Club Bengaluru Banaswadi,Reliance Fresh Banaswadi,Easyday Club Bengaluru Banaswadi,"
35,Banjara Layout,,
36,Bannerghatta,,"SPAR Hypermarket Vegacity Mall,SPAR Hypermarket Bannerghatta Road,Star Bazaar Gottigere,SUPER 99 VEGA CITY MALL BENGALURU,SPAR Hypermarket Vegacity Mall,"
37,Bannerghatta Road,,"SUPER 99 VEGA CITY MALL BENGALURU,SUPER 99 VEGA CITY MALL BENGALURU,"
38,Basavangudi,,
39,Basaveshwara Nagar,,
40,Battarahalli,,
41,Begur,,"Reliance Fresh Parappan Agrahar,Metro Bengaluru-Hosur Main Road,Reliance Fresh Begur,Star Market Singasandra,Akshaya Nagar, Bengaluru (Star Market),Reliance Fresh Parappan Agrahar,"
42,Begur Road,,
43,Bellandur,,"Reliance Fresh Mint Plaza,Devarabeesanahalli, Bengaluru (Star Market),Reliance Fresh Mint Plaza,"
44,Benson Town,,
45,Bharathi Nagar,,
46,Bhoganhalli,,
47,Billekahalli,,
48,Binny Pete,,
49,Bisuvanahalli,,
50,Bommanahalli,,"Easyday Club Bengaluru Bommanahalli,Reliance Fresh Begur,Easyday Club Bengaluru Bommanahalli,"
51,Bommasandra,,
52,Bommasandra Industrial Area,,
53,Bommenahalli,,
54,Brookefield,,
55,Budigere,,
56,CV Raman Nagar,,
57,Chamrajpet,,
58,Chandapura,,
59,Channasandra,,"Channasandra, Bengaluru (Star Market),Channasandra, Bengaluru (Star Market),"
60,Chikka Tirupathi,,
61,Chikkabanavar,,
62,Chikkalasandra,,
63,Choodasandra,,
64,Cooke Town,,
65,Cox Town,,
66,Cunningham Road,,
67,Dasanapura,,
68,Dasarahalli,,"Reliance Fresh Hesarghatta,Reliance Fresh Mallasandra,Reliance Fresh Hesarghatta,"
69,Devanahalli,,
70,Devarachikkanahalli,,
71,Dodda Nekkundi,,
72,Doddaballapur,,
73,Doddakallasandra,,
74,Doddathoguru,,
75,Domlur,,"Easyday Club Bengaluru Domlur,Easyday Club Bengaluru Domlur,"
76,Dommasandra,,
77,EPIP Zone,,
78,Electronic City,,"Star Bazaar Anantha Nagar,Anantha Nagar, Bengaluru (Star Market),Nature's Basket - Electronic City,Star Bazaar Anantha Nagar,"
79,Electronic City Phase II,,"Anantha Nagar, Bengaluru (Star Market),Anantha Nagar, Bengaluru (Star Market),"
80,Electronics City Phase 1,,"Nature's Basket - Electronic City,Nature's Basket - Electronic City,"
81,Frazer Town,,"Namdhari's Fresh,Reliance Fresh FrazerTown,Namdhari's Fresh,"
82,GM Palaya,,
83,Garudachar Palya,,
84,Giri Nagar,,
85,Gollarapalya Hosahalli,,
86,Gottigere,,"Star Bazaar Gottigere,Star Bazaar Gottigere,"
87,Green Glen Layout,,"Reliance Fresh Mint Plaza,Reliance Fresh Mint Plaza,"
88,Gubbalala,,
89,Gunjur,,
90,HAL 2nd Stage,,"Namdhari's Fresh,Namdhari's Fresh,"
91,HBR Layout,,
92,HRBR Layout,,"Nature's Basket - Kammanahalli,Nature's Basket - Kammanahalli,"
93,HSR Layout,,"HSR Layout, Bengaluru (Star Market),HSR Layout, Bengaluru (Star Market),"
94,Haralur Road,,
95,Harlur,,
96,Hebbal,,"ISRO Layout, Bengaluru (Star Market),ISRO Layout, Bengaluru (Star Market),"
97,Hebbal Kempapura,,
98,Hegde Nagar,,
